Participant,Hz,avgDifficulty,avgTime,avgDeviation,avgLength,avgVelocityMax,avgAccelerationMax,avgJerkMax,Errors,ErrorRate,avgReaction
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
5,0.0237305610691585,2.12359550561798,0.992875832930337,17.2992457704236,0.264121897599552,0.628445640438347,3.72474048020044,44.0942305105264,1,1.12359550561798,0.246860986516854
6,0.0170472758242536,2.07777777777778,0.858202147494077,13.3801150120739,0.267496184874542,0.575156903277213,4.50336812856933,61.5916025350675,1,1.11111111111111,0.232789024444444
7,0.0200565719284433,1.93333333333333,0.957164882222217,6.92748881556761,0.212271571929152,0.449149450771269,2.35599174913531,34.7481060198537,1,1.11111111111111,0.201355196666667
8,0.0182590400011372,1.87640449438202,0.714778203093254,21.1649890815181,0.298086694645898,0.617607360085063,7.17386013918955,60.2396307834338,2,2.24719101123596,0.251680668539326
9,0.0224166466588512,2.07777777777778,0.752458952336651,27.0033064778615,0.287955960938824,0.61650122597372,5.22537455580509,44.7648635353009,1,1.11111111111111,0.243257791111111
10,0.0170377517647538,2.12222222222222,0.820276705351111,40.1515751769478,0.350916602686777,0.60037735525781,8.91921042711463,68.028616707424,2,2.22222222222222,0.240476873333333
11,0.0179823370934511,2.05555555555556,0.790008890225274,14.1545776258884,0.293645151028068,0.595132458904585,7.1694421873018,58.2808673840501,1,1.11111111111111,0.27367842
12,0.0201868310523125,1.92857142857143,0.994812699325004,21.4684102024971,0.30780305472755,0.473639072536341,5.40850622713741,39.8044137903616,1,1.19047619047619,0.318315529761905
13,0.0170737985075245,2,1.00960001297191,10.8313464428099,0.221551548963922,0.497442796528006,2.68795178457416,47.4294366928353,1,1.11111111111111,0.214208238888889
14,0.0168673212205967,2.08888888888889,0.802586734559327,13.9152867506613,0.245287598321642,0.705670584487155,5.61267871345493,82.6916820218911,1,1.11111111111111,0.221938107777778
15,0.0193542869655503,2.14444444444444,0.691794652316462,27.9959213340727,0.317342731152243,0.648888168997089,6.600800916616,68.4593310752577,3,3.33333333333333,0.222073517777778
16,0.0196705356196065,1.81111111111111,0.704850973277224,19.3753402069777,0.254442170585608,0.472141726228723,4.8707373135194,40.3713328134812,1,1.11111111111111,0.209857404444444
17,0.0176567290412543,2.05555555555556,1.33132278791955,20.1786053465893,0.221901304990479,0.502013811716478,1.92067221851839,47.0511091844642,1,1.11111111111111,0.232112805555556
18,0.0181265036161129,1.96666666666667,0.705237729498903,23.329558640606,0.281348078811329,0.57393812144508,7.06380831169297,59.4008239059537,0,0,0.238314204444444
19,0.017007398283758,2.22222222222222,0.8670547334216,18.9342021180919,0.251057640222531,0.620168922617321,3.67234381728119,68.0073455660145,3,3.33333333333333,0.194492768888889
20,0.0173190041853236,2.06666666666667,0.755797343820125,29.6915258830429,0.285600590311083,0.735392406664382,7.52173402585743,79.6200058496023,5,5.55555555555556,0.260526337777778
21,0.0192179965311451,1.83333333333333,0.909563311516225,20.9741920204896,0.338686615556153,0.4613179445155,7.18532073150649,52.107991793552,8,8.88888888888889,0.279117724444444
22,0.0204717655906432,2.22222222222222,0.835483576626444,22.4006798019591,0.279877109878592,0.650164076394464,5.1999087319049,54.0472045787823,4,4.44444444444444,0.252465874444444
23,0.0168909499196357,1.9,1.02871101261136,18.8680705002179,0.251835443911833,0.535660526711576,3.95612298689244,63.0127853109754,4,4.44444444444444,0.236231851111111
24,0.0176709681807981,1.92222222222222,0.704622690824322,27.4716238662555,0.28878264550327,0.52031916695966,7.91969533400699,61.1164190989619,2,2.22222222222222,0.218444603333333
25,0.0171040730621628,1.85555555555556,1.05474651116467,25.3446539911829,0.266115116795109,0.553824203658533,3.67047094626423,59.9140840892532,4,4.44444444444444,0.239976695555556
26,0.016877517405309,2.05555555555556,0.716523633405776,7.22709229932082,0.193268595215494,0.630982609502523,3.97522583182613,57.6597682851348,0,0,0.236406931111111
27,0.0170077443208585,2.13333333333333,0.803929921145937,18.7726779311757,0.331541155009908,0.660023022774669,6.43270485871049,77.670761567944,6,6.66666666666667,0.249733236666667
28,0.0171007482362606,2.04444444444444,0.824197056610511,22.0025467394662,0.257895112629056,0.613887260850229,4.42339303232524,77.6233022234904,0,0,0.218752301111111
29,0.0184819583135289,2,0.830811954486669,20.1451067405077,0.268523831988097,0.669241922635119,5.94441387623342,72.5027806094506,0,0,0.264727581111111
30,0.0171271169015045,2.04597701149425,0.764172086282758,11.1693740858344,0.219840312652055,0.645779337256588,4.2656866255229,69.2638400754839,3,3.44827586206897,0.218159165517241
